"","x"
"1","Acanthocyclops"
"2","Acartia copepodid"
"3","Acartia spp."
"4","Acartiella"
"5","Acartiella copepodid"
"6","Americorophium spinicorne"
"7","Americorophium stimpsoni"
"8","Amphipod juvenile"
"9","Amphipod UNID"
"10","Anisogammaridae"
"11","Ant"
"12","Aoridae"
"13","Aphididae"
"14","Aphididae Adult"
"15","Aphididae Larvae"
"16","Asellidae UNID"
"17","Asellus"
"18","Asplanchna"
"19","Barnacle cyprid"
"20","Barnacle Nauplii"
"21","Bigscale Logperch"
"22","Bosmina"
"23","Brachionus angularis"
"24","Brachionus bidentata"
"25","Brachionus plicatilis"
"26","Brachionus quadridentatus"
"27","Brachionus variabilis"
"28","Branchionus"
"29","Calanoid"
"30","Calanoid copepod (gravid)"
"31","Calanoid copepodid"
"32","Calanoid UNID"
"33","Centrarchidae larvae unknown"
"34","Ceratopogonidae larvae"
"35","Ceriodaphnia"
"36","Chironomid Larvae"
"37","Chydoridae"
"38","Cladocera UNID"
"39","Clam Juvenile"
"40","Clam UNID"
"41","Coccidae Adult"
"42","Coenagrionidae larvae"
"43","Coleoptera Larvae"
"44","Coleoptera Other adult"
"45","Collembola"
"46","Common Carp"
"47","Conochiloides sp."
"48","Copepod Nauplii"
"49","Copepod other adult"
"50","Copepod Other juvenile"
"51","Corbicula"
"52","Corisella sp.Larvae"
"53","Corixidae"
"54","Corophiid Juvenile"
"55","Corophiid UNID"
"56","Crab zoea"
"57","Crangonyx"
"58","Cumaceans"
"59","Cyclopoid copepodid"
"60","Cyclopoid Other"
"61","Cyprinid spp."
"62","Daphnia"
"63","Diacyclops"
"64","Diaphanosoma"
"65","Diaptomidae copepodid"
"66","Diaptomidae spp."
"67","Diptera Adult"
"68","Diptera Larvae UNID"
"69","Diptera Pupae"
"70","Dytiscidae adult"
"71","Elmidae larvae"
"72","Eogammarus"
"73","Ephemeroptera larvae UNID"
"74","Eucyclops"
"75","Eucyclops elegans"
"76","Eurytemora affinis"
"77","Eurytemora copepodid"
"78","Eurytemora nauplii"
"79","Fish larvae"
"80","Fish UNID"
"81","Fluminicola"
"82","Gammarid juvenile"
"83","Gammarus"
"84","Gnorimosphaeroma"
"85","Golden Shiner"
"86","Goldfish"
"87","Grandidierella"
"88","Gyraulus"
"89","Halicyclops"
"90","Harpacticoids"
"91","Harris Mud Crab"
"92","Hemiptera Other"
"93","Holopedium"
"94","Homocyclops"
"95","Hyalella"
"96","Hydra"
"97","Hydrobiidae"
"98","Hydrophilidae Adult Beetle"
"99","Hydrophilidae Larvae Beetle"
"100","Hydroptilidae Larvae Caddisfly"
"101","Hydrozoa"
"102","Hymenoptera Other"
"103","Hymenoptera UNID"
"104","Hyperacanthomysis longirostris"
"105","Ilyocryptus"
"106","Insect larvae UNID"
"107","Insect Unid"
"108","Invertebrate UNID"
"109","Isopod juvenile"
"110","Isopod UNID"
"111","Jellyfish UNID"
"112","Kellicottia"
"113","Kellicottia bostoniensis"
"114","Keratella"
"115","Keratella cochlearis"
"116","Keratella valga"
"117","Kurzia latissima"
"118","Latona"
"119","Lecane sp."
"120","Leech"
"121","Lepidoptera Larvae"
"122","Leptodora"
"123","Limnoithona juvenile"
"124","Limnoithona sinensis"
"125","Limnoithona spp."
"126","Limnoithona tetraspina"
"127","Limpet"
"128","Lymnaea"
"129","Macrocyclops"
"130","Macrothricidae"
"131","Maeotias"
"132","Manayunkia speciosa"
"133","Mesocyclops"
"134","Microcyclops"
"135","Mississippi Silverside"
"136","Mite"
"137","Moerisia spp"
"138","Moina"
"139","Mosquitofish"
"140","Munnidae"
"141","Mussel UNID"
"142","Mysid juvenile"
"143","Mysid Other"
"144","Mytilina sp."
"145","Nematode"
"146","Neomysis kadiakensis"
"147","Neomysis mercedis"
"148","Odonata Other"
"149","Oithona davisae"
"150","Oithona juvenile"
"151","Oithona similis"
"152","Oithona spp."
"153","Oligocheate"
"154","Osphranticum"
"155","Osphranticum copepodid"
"156","Ostracods"
"157","Paracyclops"
"158","Paracyclops chiltoni"
"159","Paracyclops sp."
"160","Physa"
"161","Planaria"
"162","Planorbella"
"163","Platyias"
"164","Platyias patulus"
"165","Polyarthra"
"166","Polychaete"
"167","Prickly Sculpin"
"168","Pseudodiaptomus copepodid"
"169","Pseudodiaptomus forbesi"
"170","Pseudodiaptomus marinus"
"171","Pseudodiaptomus nauplii"
"172","Psyllidae"
"173","Rainwater Killifish"
"174","Rotifer UNID"
"175","Sacramento Blackfish"
"176","Scapholeberis"
"177","Shrimp Other"
"178","Sida"
"179","Silverside unid larvae"
"180","Simocephalus"
"181","Sinocalanus"
"182","Sinocalanus copepodid"
"183","Sinocalanus nauplii"
"184","Snail UNID"
"185","Spider"
"186","Splittail"
"187","Staphylinidae adult"
"188","Striped Bass"
"189","Stylaria"
"190","Synchaeta"
"191","Tanaid"
"192","Tardigrade"
"193","Threadfin Shad"
"194","Threespine Stickleback"
"195","Thrips"
"196","Topsmelt"
"197","Tortanus"
"198","Tortanus copepodid"
"199","Tortanus dextrilobatus"
"200","Tortanus discaudatus"
"201","Trichocerca"
"202","Trichocorixa sp.Larvae"
"203","Trichoptera Adult"
"204","Trichotria pocillum"
"205","Trichotria tetractis"
"206","Tricoptera larvae UNID"
"207","Tridentiger Spp."
"208","Tropocyclops prasinus mexicanus"
"209","Worm UNID"
